id,country,region, imports ,imports.log
0,AUS,Asia-Pacific,270445,5.432078957
1,AUT,Europe & Central Asia,210807,5.323885028
2,BEL,Europe & Central Asia,390195,5.5912817
3,BGR,Europe & Central Asia,33988,4.53132561
4,BRA,S. America,215648,5.333745435
5,CAN,N. America,511324,5.708696178
6,CHE,Europe & Central Asia,266809,5.426200475
7,CHN,Asia-Pacific,1749824,6.242994369
8,CYP,Europe & Central Asia,11620,4.065206128
9,CZE,Europe & Central Asia,161954,5.209391679
10,DEU,Europe & Central Asia,1240365,6.093549503
11,DNK,Europe & Central Asia,133612,5.125845465
12,ESP,Europe & Central Asia,394570,5.596124062
13,EST,Europe & Central Asia,17459,4.242019365
14,FIN,Europe & Central Asia,90124,4.954840459
15,FRA,Europe & Central Asia,734934,5.866248339
16,GBR,Europe & Central Asia,704642,5.847968526
17,GRC,Europe & Central Asia,61924,4.791859002
18,HRV,Europe & Central Asia,24884,4.395920193
19,HUN,Europe & Central Asia,112187,5.049942535
20,IDN,Asia-Pacific,207409,5.316827598
21,IND,Asia-Pacific,394668,5.596231915
22,IRL,Europe & Central Asia,250025,5.397983436
23,ITA,Europe & Central Asia,449945,5.65315943
24,JPN,Asia-Pacific,816531,5.911972678
25,KOR,Asia-Pacific,585255,5.767345133
26,LTU,Europe & Central Asia,36525,4.562590225
27,LUX,Europe & Central Asia,113589,5.055336276
28,LVA,Europe & Central Asia,16644,4.221257707
29,MEX,N. America,375190,5.574251255
30,MLT,Europe & Central Asia,12458,4.095448327
31,NLD,Europe & Central Asia,442051,5.645472377
32,NOR,Europe & Central Asia,144374,5.159488989
33,POL,Europe & Central Asia,261759,5.417901623
34,PRT,Europe & Central Asia,83290,4.920592862
35,ROM,Europe & Central Asia,89212,4.950423276
36,RUS,Europe & Central Asia,290656,5.463379293
37,SVK,Europe & Central Asia,88947,4.949131305
38,SVN,Europe & Central Asia,29709,4.472888034
39,SWE,Europe & Central Asia,192800,5.28510703
40,TUR,Europe & Central Asia,232339,5.366122116
41,TAP,Asia-Pacific,283570,5.452660283
42,USA,N. America,2414965,6.382910841
43,BAN,Asia-Pacific,43737,4.640848991
44,MAL,Asia-Pacific,145565,5.163056965
45,PHI,Asia-Pacific,101229,5.005304947
46,THA,Asia-Pacific,189910,5.278547834
47,VIE,Asia-Pacific,154518,5.188979078
48,KAZ,Europe & Central Asia,34006,4.53155555
49,MON,Asia-Pacific,5645,3.751663946
50,SRI,Asia-Pacific,22476,4.351719023
51,PAK,Asia-Pacific,53585,4.729043235
52,FIJ,Asia-Pacific,2206,3.343605508
53,LAO,Asia-Pacific,6280,3.797959644
54,BRN,Asia-Pacific,4319,3.635383204
55,BTN,Asia-Pacific,1518,3.181271772
56,KGZ,Europe & Central Asia,5300,3.72427587
57,CAM,Asia-Pacific,10653,4.027471927
58,MDV,Asia-Pacific,2514,3.400365273
59,NPL,Asia-Pacific,9059,3.95708026
60,SIN,Asia-Pacific,297717,5.473803634
61,HKG,Asia-Pacific,199254,5.299407049
